ADAMTSL4 CCL3 0.9815360750627908
SCN1A CDC25C 0.97737315034356
CHST2 KIR2DS4 0.9772757841516791
E2F8 SCN1A 0.9742245812754464
E2F8 CDC25C 0.972270024968924
IL2RG NBPF16 0.9709983564333652
AATK SYDE2 0.96965372697388
AQP7 ERBB4 0.9688477122353452
C13orf23 NIP7 0.9684380303785398
WFDC2 TTYH1 0.9672990949394068
COL2A1 FABP4 0.9638389832545974
GSTP1 EBF1 0.9634852256159132
CHST2 TC2N 0.9629640920862096
UNC5C NBPF16 0.962923802681181
NBPF16 KIAA1755 0.9626889955686904
IL2RG KIAA1755 0.9622794290590048
MAFF RAC3 0.961621660461227
RFXANK C8orf59 0.9615808945402808
ST18 IL16 0.9615794900117816
PIP COL2A1 0.9594462916674458
AIM2 PLAC8 0.9591070920854666
APOLD1 STON1 0.9590222705649488
ECT2L A2M 0.958644350183741
AMDHD1 EPS8L1 0.958440143094076
OASL NCRNA00160 0.958316068077565
PVRL4 KCNK7 0.9576282591536338
PIP ADIPOQ 0.9574073825725902
FAM180B CABP4 0.9573068515207268
UNC5C CLCNKA 0.956541226983566
STON1 LRRC37A4 0.9558724262622944
LANCL3 LRRC37A4 0.9552749117057572
C17orf104 ARRDC5 0.9552122980367924
SEMA6B ZBTB10 0.954909026646902
KLHL1 ABCA6 0.9548913578267464
FZD7 NANOS3 0.9546802136164104
COL2A1 PGR 0.9545722025583526
ZNF804A TMOD2 0.954545090934339
FABP4 NLRP2 0.9543448194873396
OAZ3 ST18 0.954156214997729
ARMC5 FHOD1 0.9539055683188236
C20orf26 HS3ST5 0.9535681863588088
GRHL3 COL4A5 0.95315257988417
LANCL3 STON1 0.9530939970567972
NHLRC4 CDC25C 0.9526487758565612
CSTA AMDHD1 0.9524193846542846
TC2N KIR2DS4 0.9521644599109604
KCNJ11 HS3ST5 0.952120532296166
PLAC8 DSCR8 0.9520337294067802
CDC25C FAM111B 0.9516379172367692
FABP4 AQP5 0.9515609272586582
KLK3 C6orf97 0.9509335950505974
HHIP KCNK7 0.9499171978829022
B4GALNT2 DACT2 0.9495135907215388
GRHL3 SLC39A6 0.9494798986733192
NBPF16 CLCNKA 0.9492644102817562
GALNT14 LOC338651 0.9486265714429232
E2F8 LASS1 0.9485201491287903
SPAG6 CAPN8 0.948407959910914
GJB3 FAM196B 0.9482872224283144
STON1 LOC283922 0.948243357511118
FABP4 SAA2 0.9476078531403778
CPB1 SCGB2A2 0.9475950920139504
FAM101A ROR1 0.9474229497097338
CDC25C LMOD1 0.9473840637258774
HOXD1 RNF175 0.9473749709088216
CACNA1F COL4A5 0.9472637367042822
C17orf104 PSIMCT-1 0.9471361910024532
COL2A1 AQP5 0.9469141100092878
OASL TMCC2 0.946790907462418
WDR72 ADAMTS16 0.946593444177236
